instrumento,bjd,vrad,svrad
HIRES,2451755.9770467705,-71.5,4.5
HAMILTON,2451774.8455229085,245.53,4.18
HAMILTON,2451774.845526909,41.08,8.924911
HAMILTON,2451775.8816808015,39.1,9.158642
HAMILTON,2451775.8816838013,235.77,4.51
HIRES,2451792.796825034,73.2,5.0
HIRES,2451792.7969130334,77.1,3.8
HIRES-pre04,2451792.7969130334,82.33,1.988636
HIRES,2451792.7969150334,79.17,1.86
HIRES-pre04,2451882.7074298593,-77.8,1.804153
HIRES,2451882.7074298593,-79.0,3.8
HIRES,2451882.7074348587,-74.09,1.84
HIRES,2451882.707554848,-71.4,6.3
HIRES,2451883.7200834975,2.8,4.1
HIRES-pre04,2451883.7200834975,4.04,2.008604
HIRES,2451883.720085497,3.14,1.9
HIRES,2451883.7204654636,21.5,6.6
HIRES,2451899.729602539,-15.25,1.47
HIRES,2451899.7296035388,-18.4,3.4
HIRES-pre04,2451899.7296035388,-16.9,1.647305
HIRES,2451899.7300824984,-4.7,5.4
HIRES,2451900.720000141,-62.5,5.7
HIRES,2451900.720280118,-74.37,1.65
HIRES-pre04,2451900.720285117,-76.16,1.564999
HIRES,2451900.720285117,-77.7,3.3
HIRES,2452063.112894055,-32.4,4.7
HIRES,2452063.1129640606,-52.16,1.87
HIRES-pre04,2452063.1129660606,-51.99,1.833283
HIRES,2452063.1129660606,-56.8,3.8
HIRES,2452102.007970339,-37.7,4.9
HIRES-pre04,2452102.008357365,-45.47,1.980873
HIRES,2452102.008357365,-50.8,4.0
HIRES,2452102.008360365,-45.33,1.94
HIRES,2452446.1301018014,-40.9,3.6
HIRES-pre04,2452446.1301018014,-35.96,1.752457
HIRES,2452446.130104802,-33.69,1.75
HIRES,2452446.1304048263,-37.0,4.5
HIRES-pre04,2452514.970372194,38.16,1.83301
HIRES,2452514.970372194,32.7,3.7
HIRES,2452514.9703771938,39.04,1.74
HIRES,2452514.970847197,42.7,4.1
HIRES,2452535.85045345,-4.6,4.0
HIRES,2452535.85045345,0.0,2.09
HIRES-pre04,2452535.85045345,0.07,2.005513
HIRES,2452535.850673445,14.8,5.0
HIRES,2452575.7336971005,97.8,6.7
HIRES-pre04,2452575.733905086,93.13,1.949086
HIRES,2452575.733905086,90.8,4.0
HIRES,2452806.9746517004,-32.54,1.67
HIRES,2452806.974655701,-33.0,3.6
HIRES-pre04,2452806.974655701,-28.13,1.811795
HIRES-pre04,2452836.0080978745,75.59,1.600452
HIRES,2452836.0080978745,70.2,3.3
HIRES,2452836.008100875,77.63,1.64
HIRES,2452848.9726839717,-63.2,1.82
HIRES,2452848.972684972,-68.8,3.9
HIRES-pre04,2452848.972684972,-63.26,1.912153
HIRES,2452849.991241572,66.6,3.2
HIRES-pre04,2452849.991241572,72.17,1.61289
HIRES,2452849.9912435724,73.15,1.69
HIRES-pre04,2452850.9535442716,58.24,1.61326
HIRES,2452850.9535442716,52.7,3.2
HIRES,2452850.9535492714,59.45,1.66
HIRES,2452853.9593747198,80.5,3.4
HIRES-pre04,2452853.9593747198,86.12,1.739084
HIRES,2452853.9593747198,84.1,1.7
HIRES-pre04,2452855.0029261033,-16.65,1.880083
HIRES,2452855.0029261033,-22.3,3.8
HIRES,2452855.0029291036,-15.59,1.76
HIRES,2452856.0112306667,-66.34,1.92
HIRES,2452856.0112316664,-74.3,4.0
HIRES-pre04,2452856.0112316664,-68.65,1.951508
HIRES,2452897.8218114697,-74.52,1.83
HIRES-pre04,2452897.8218164695,-77.21,1.744303
HIRES,2452897.8218164695,-82.1,3.6
HIRES,2452898.811402154,-11.64,1.77
HIRES,2452898.811403154,-17.6,3.5
HIRES-pre04,2452898.811403154,-12.73,1.690836
HIRES-pre04,2452924.769636457,77.56,1.690902
HIRES,2452924.769636457,74.2,3.5
HIRES,2452924.7696404564,80.08,1.63
HIRES,2452987.7029994926,77.1,3.7
HIRES-pre04,2452987.7029994926,78.45,1.808856
HIRES,2452987.7030014927,77.56,1.68
HIRES,2452988.7120742123,18.76,2.01
HIRES-pre04,2452988.712078212,17.17,1.8828
HIRES-pre04,2453154.084978597,50.01,2.04196
HIRES,2453154.084978597,45.2,4.1
HIRES,2453154.084980597,51.13,1.9
HIRES,2453180.0941755897,-82.51,1.7
