instrumento,bjd,vrad,svrad
ELODIE,1804.5515620610677,-21.238382943117823,14.735174
ELODIE,1804.5641617686488,-6.238382943117824,12.563002
COR,1843.6212820364162,-48.55899149298922,9.0
COR,1843.6330811954103,-61.55899149298922,10.0
COR,1861.5105951796286,-69.55899149298922,11.0
COR,1861.522394192405,-80.55899149298922,10.0
COR,1862.508411785122,-13.558991492989218,11.0
COR,1862.5202107918449,-3.558991492989219,9.0
COR,1863.5166270267218,80.44100850701078,13.0
COR,1863.5283260350116,114.44100850701078,13.0
COR,1864.5261416858993,-39.55899149298922,13.0
COR,1865.5404554852284,-41.55899149298922,14.0
COR,1868.515400341712,-69.55899149298922,10.0
COR,1868.5271993172355,-61.55899149298922,11.0
COR,1872.5240519330837,-24.558991492989218,15.0
COR,1872.5359508846886,-54.55899149298922,14.0
HIRES-pre04,1882.7074298593216,-77.8,1.804153
HIRES,1882.7074298593216,-79.0,3.8
HIRES,1882.7074348586611,-74.09,1.84
HIRES,1882.7075548479334,-71.4,6.3
HIRES,1883.7200834974647,2.8,4.1
HIRES-pre04,1883.7200834974647,4.04,2.008604
HIRES,1883.7200854970142,3.14,1.9
HIRES,1883.7204654635862,21.5,6.6
HIRES,1899.7296025389805,-15.25,1.47
HIRES,1899.7296035387553,-18.4,3.4
HIRES-pre04,1899.7296035387553,-16.9,1.647305
HIRES,1899.7300824983977,-4.7,5.4
HIRES,1900.7200001408346,-62.5,5.7
HIRES,1900.720280117821,-74.37,1.65
HIRES-pre04,1900.7202851171605,-76.16,1.564999
HIRES,1900.7202851171605,-77.7,3.3
HIRES,2063.112894054968,-32.4,4.7
HIRES,2063.112964060623,-52.16,1.87
HIRES,2063.1129660606384,-56.8,3.8
HIRES-pre04,2063.1129660606384,-51.99,1.833283
ELODIE,2075.595754855778,57.464283354218864,9.0
ELODIE,2075.595754855778,68.96062405688325,9.04678
HIRES,2102.007970339153,-37.7,4.9
HIRES,2102.00835736515,-50.8,4.0
HIRES-pre04,2102.00835736515,-45.47,1.980873
HIRES,2102.00836036494,-45.33,1.94
ELODIE,2111.54856232414,-72.53584764578001,12.0
ELODIE,2111.54856232414,-67.03950694311744,12.481203
ELODIE,2111.5635631834157,-57.53584764578001,12.0
ELODIE,2111.5635631834157,-52.039506943117445,11.928447
ELODIE,2112.559619558975,-36.535851645779545,9.0
ELODIE,2112.559619558975,-31.039510943116976,8.825631
ELODIE,2114.5956313698553,45.96048105688213,9.458409
ELODIE,2115.56828313414,-82.03952194311707,9.530584
ELODIE,2115.56828313414,-87.53586264577963,10.0
ELODIE,2116.587436201051,33.464133354219015,10.0
ELODIE,2116.587436201051,38.9604740568834,9.876521
ELODIE,2117.5158834899776,78.46413035421982,10.0
ELODIE,2117.5158834899776,83.96047105688238,10.115759
COR,2129.72320731543,-56.55899149298922,10.0
